enc_class	enc_method	exp	kind	class	method	param	index	uri
tui.Driver#$@$#main(java.lang.String[])#$@$#ImageIO.read#$@$#METHOD	javax.imageio.ImageIO	read(java.io.File)	null	null	null
darwin.initialization.Grow#$@$#generate(int,int,java.lang.Class)#$@$#size#$@$#PARAMETER	darwin.initialization.Grow	generate(int,int,java.lang.Class)	size	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/initialization/Grow.java
darwin.initialization.Grow#$@$#generate(int,int,java.lang.Class)#$@$#nodeFactory.getNode#$@$#METHOD	darwin.problemObject.NodeFactory	getNode(darwin.nodeFilter.Filter)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/problemObject/NodeFactory.java
darwin.initialization.Grow#$@$#generate(int,int,java.lang.Class)#$@$#nodeFactory#$@$#FIELD	darwin.initialization.Grow	null	nodeFactory	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/initialization/Grow.java
darwin.initialization.Grow#$@$#generate(int,int,java.lang.Class)#$@$#returnType#$@$#PARAMETER	darwin.initialization.Grow	generate(int,int,java.lang.Class)	returnType	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/initialization/Grow.java
darwin.initialization.Grow#$@$#generate(int,int,java.lang.Class)#$@$#nodeFactory.getNode#$@$#METHOD	darwin.problemObject.NodeFactory	getNode(darwin.nodeFilter.Filter)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/problemObject/NodeFactory.java
darwin.initialization.Grow#$@$#generate(int,int,java.lang.Class)#$@$#nodeFactory#$@$#FIELD	darwin.initialization.Grow	null	nodeFactory	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/initialization/Grow.java
darwin.initialization.Grow#$@$#generate(int,int,java.lang.Class)#$@$#returnType#$@$#PARAMETER	darwin.initialization.Grow	generate(int,int,java.lang.Class)	returnType	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/initialization/Grow.java
darwin.initialization.Grow#$@$#generate(int,int,java.lang.Class)#$@$#size#$@$#PARAMETER	darwin.initialization.Grow	generate(int,int,java.lang.Class)	size	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/initialization/Grow.java
darwin.initialization.Grow#$@$#generate(int,int,java.lang.Class)#$@$#current.getArity#$@$#METHOD	darwin.population.Node	getArity()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.initialization.Grow#$@$#generate(int,int,java.lang.Class)#$@$#generate#$@$#METHOD	darwin.initialization.Grow	generate(int,int,java.lang.Class)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/initialization/Grow.java
darwin.initialization.Grow#$@$#generate(int,int,java.lang.Class)#$@$#depth#$@$#PARAMETER	darwin.initialization.Grow	generate(int,int,java.lang.Class)	depth	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/initialization/Grow.java
darwin.initialization.Grow#$@$#generate(int,int,java.lang.Class)#$@$#size#$@$#PARAMETER	darwin.initialization.Grow	generate(int,int,java.lang.Class)	size	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/initialization/Grow.java
darwin.initialization.Grow#$@$#generate(int,int,java.lang.Class)#$@$#current.getChildType#$@$#METHOD	darwin.population.Node	getChildType(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.initialization.Grow#$@$#generate(int,int,java.lang.Class)#$@$#current.setChildNode#$@$#METHOD	darwin.population.Node	setChildNode(int,darwin.population.Node)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.initialization.Grow#$@$#generate(int,int,java.lang.Class)#$@$#size#$@$#PARAMETER	darwin.initialization.Grow	generate(int,int,java.lang.Class)	size	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/initialization/Grow.java
darwin.initialization.Grow#$@$#generate(int,int,java.lang.Class)#$@$#node.getSize#$@$#METHOD	darwin.population.Node	getSize(boolean)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.initialization.Grow#$@$#generate(int,int,java.lang.Class)#$@$#e.printStackTrace#$@$#METHOD	java.lang.Throwable	printStackTrace()	null	null	null
darwin.selection.FitnessProportional#$@$#select(int)#$@$#Math.random#$@$#METHOD	java.lang.Math	random()	null	null	null
darwin.selection.FitnessProportional#$@$#select(int)#$@$#universe[populationIndex].getPopulationSize#$@$#METHOD	darwin.population.Population	getPopulationSize()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Population.java
darwin.selection.FitnessProportional#$@$#select(int)#$@$#universe#$@$#FIELD	darwin.selection.Selection	null	universe	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/Selection.java
darwin.selection.FitnessProportional#$@$#select(int)#$@$#populationIndex#$@$#PARAMETER	darwin.selection.FitnessProportional	select(int)	populationIndex	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/FitnessProportional.java
darwin.selection.FitnessProportional#$@$#select(int)#$@$#fitness.getNormalizedFitness#$@$#METHOD	darwin.fitness.Fitness	getNormalizedFitness(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/fitness/Fitness.java
darwin.selection.FitnessProportional#$@$#select(int)#$@$#fitness#$@$#FIELD	darwin.selection.Selection	null	fitness	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/Selection.java
darwin.selection.FitnessProportional#$@$#select(int)#$@$#populationIndex#$@$#PARAMETER	darwin.selection.FitnessProportional	select(int)	populationIndex	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/FitnessProportional.java
darwin.selection.Tournament#$@$#Tournament(int)#$@$#this.tournamentSize#$@$#FIELD	darwin.selection.Tournament	null	tournamentSize	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/Tournament.java
darwin.selection.Tournament#$@$#Tournament(int)#$@$#this#$@$#FIELD	darwin.selection.Tournament	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/Tournament.java
darwin.selection.Tournament#$@$#Tournament(int)#$@$#tournamentSize#$@$#PARAMETER	darwin.selection.Tournament	Tournament(int)	tournamentSize	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/Tournament.java
darwin.selection.Tournament#$@$#select(int)#$@$#tournamentSize#$@$#FIELD	darwin.selection.Tournament	null	tournamentSize	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/Tournament.java
darwin.selection.Tournament#$@$#select(int)#$@$#universe[populationIndex].getPopulationSize#$@$#METHOD	darwin.population.Population	getPopulationSize()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Population.java
darwin.selection.Tournament#$@$#select(int)#$@$#universe#$@$#FIELD	darwin.selection.Selection	null	universe	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/Selection.java
darwin.selection.Tournament#$@$#select(int)#$@$#populationIndex#$@$#PARAMETER	darwin.selection.Tournament	select(int)	populationIndex	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/Tournament.java
darwin.selection.Tournament#$@$#select(int)#$@$#random.length#$@$#FIELD	Array	null	length	null	null
darwin.selection.Tournament#$@$#select(int)#$@$#Math.random#$@$#METHOD	java.lang.Math	random()	null	null	null
darwin.selection.Tournament#$@$#select(int)#$@$#fitness.getAdjustedFitness#$@$#METHOD	darwin.fitness.Fitness	getAdjustedFitness(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/fitness/Fitness.java
darwin.selection.Tournament#$@$#select(int)#$@$#fitness#$@$#FIELD	darwin.selection.Selection	null	fitness	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/Selection.java
darwin.selection.Tournament#$@$#select(int)#$@$#populationIndex#$@$#PARAMETER	darwin.selection.Tournament	select(int)	populationIndex	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/Tournament.java
darwin.selection.Tournament#$@$#select(int)#$@$#random.length#$@$#FIELD	Array	null	length	null	null
darwin.selection.Tournament#$@$#select(int)#$@$#fitness.getAdjustedFitness#$@$#METHOD	darwin.fitness.Fitness	getAdjustedFitness(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/fitness/Fitness.java
darwin.selection.Tournament#$@$#select(int)#$@$#fitness#$@$#FIELD	darwin.selection.Selection	null	fitness	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/Selection.java
darwin.selection.Tournament#$@$#select(int)#$@$#populationIndex#$@$#PARAMETER	darwin.selection.Tournament	select(int)	populationIndex	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/Tournament.java
darwin.selection.NegativeTournament#$@$#NegativeTournament(int)#$@$#this.tournamentSize#$@$#FIELD	darwin.selection.NegativeTournament	null	tournamentSize	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/NegativeTournament.java
darwin.selection.NegativeTournament#$@$#NegativeTournament(int)#$@$#this#$@$#FIELD	darwin.selection.NegativeTournament	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/NegativeTournament.java
darwin.selection.NegativeTournament#$@$#NegativeTournament(int)#$@$#tournamentSize#$@$#PARAMETER	darwin.selection.NegativeTournament	NegativeTournament(int)	tournamentSize	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/NegativeTournament.java
darwin.selection.NegativeTournament#$@$#select(int)#$@$#tournamentSize#$@$#FIELD	darwin.selection.NegativeTournament	null	tournamentSize	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/NegativeTournament.java
darwin.selection.NegativeTournament#$@$#select(int)#$@$#universe[populationIndex].getPopulationSize#$@$#METHOD	darwin.population.Population	getPopulationSize()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Population.java
darwin.selection.NegativeTournament#$@$#select(int)#$@$#universe#$@$#FIELD	darwin.selection.Selection	null	universe	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/Selection.java
darwin.selection.NegativeTournament#$@$#select(int)#$@$#populationIndex#$@$#PARAMETER	darwin.selection.NegativeTournament	select(int)	populationIndex	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/NegativeTournament.java
darwin.selection.NegativeTournament#$@$#select(int)#$@$#random.length#$@$#FIELD	Array	null	length	null	null
darwin.selection.NegativeTournament#$@$#select(int)#$@$#Math.random#$@$#METHOD	java.lang.Math	random()	null	null	null
darwin.selection.NegativeTournament#$@$#select(int)#$@$#fitness.getAdjustedFitness#$@$#METHOD	darwin.fitness.Fitness	getAdjustedFitness(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/fitness/Fitness.java
darwin.selection.NegativeTournament#$@$#select(int)#$@$#fitness#$@$#FIELD	darwin.selection.Selection	null	fitness	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/Selection.java
darwin.selection.NegativeTournament#$@$#select(int)#$@$#populationIndex#$@$#PARAMETER	darwin.selection.NegativeTournament	select(int)	populationIndex	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/NegativeTournament.java
darwin.selection.NegativeTournament#$@$#select(int)#$@$#random.length#$@$#FIELD	Array	null	length	null	null
darwin.selection.NegativeTournament#$@$#select(int)#$@$#fitness.getAdjustedFitness#$@$#METHOD	darwin.fitness.Fitness	getAdjustedFitness(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/fitness/Fitness.java
darwin.selection.NegativeTournament#$@$#select(int)#$@$#fitness#$@$#FIELD	darwin.selection.Selection	null	fitness	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/Selection.java
darwin.selection.NegativeTournament#$@$#select(int)#$@$#populationIndex#$@$#PARAMETER	darwin.selection.NegativeTournament	select(int)	populationIndex	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/selection/NegativeTournament.java
darwin.nodeFilter.Constant#$@$#accept(darwin.nodeFilter.Filterable)#$@$#node.isMutable#$@$#METHOD	darwin.nodeFilter.Filterable	isMutable()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/Filterable.java
darwin.nodeFilter.Constant#$@$#accept(darwin.nodeFilter.Filterable)#$@$#node#$@$#PARAMETER	darwin.nodeFilter.Constant	accept(darwin.nodeFilter.Filterable)	node	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/Constant.java
darwin.nodeFilter.HeightRange#$@$#HeightRange(java.lang.Class,int,int)#$@$#this.min#$@$#FIELD	darwin.nodeFilter.HeightRange	null	min	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/HeightRange.java
darwin.nodeFilter.HeightRange#$@$#HeightRange(java.lang.Class,int,int)#$@$#this#$@$#FIELD	darwin.nodeFilter.HeightRange	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/HeightRange.java
darwin.nodeFilter.HeightRange#$@$#HeightRange(java.lang.Class,int,int)#$@$#min#$@$#PARAMETER	darwin.nodeFilter.HeightRange	HeightRange(java.lang.Class,int,int)	min	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/HeightRange.java
darwin.nodeFilter.HeightRange#$@$#HeightRange(java.lang.Class,int,int)#$@$#this.max#$@$#FIELD	darwin.nodeFilter.HeightRange	null	max	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/HeightRange.java
darwin.nodeFilter.HeightRange#$@$#HeightRange(java.lang.Class,int,int)#$@$#this#$@$#FIELD	darwin.nodeFilter.HeightRange	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/HeightRange.java
darwin.nodeFilter.HeightRange#$@$#HeightRange(java.lang.Class,int,int)#$@$#max#$@$#PARAMETER	darwin.nodeFilter.HeightRange	HeightRange(java.lang.Class,int,int)	max	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/HeightRange.java
darwin.nodeFilter.HeightRange#$@$#HeightRange(java.lang.Class,int,int)#$@$#this.returnType#$@$#FIELD	darwin.nodeFilter.HeightRange	null	returnType	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/HeightRange.java
darwin.nodeFilter.HeightRange#$@$#HeightRange(java.lang.Class,int,int)#$@$#this#$@$#FIELD	darwin.nodeFilter.HeightRange	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/HeightRange.java
darwin.nodeFilter.HeightRange#$@$#HeightRange(java.lang.Class,int,int)#$@$#returnType#$@$#PARAMETER	darwin.nodeFilter.HeightRange	HeightRange(java.lang.Class,int,int)	returnType	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/HeightRange.java
darwin.nodeFilter.HeightRange#$@$#accept(darwin.nodeFilter.Filterable)#$@$#returnType.isAssignableFrom#$@$#METHOD	java.lang.Class	isAssignableFrom(java.lang.Class)	null	null	null
darwin.nodeFilter.HeightRange#$@$#accept(darwin.nodeFilter.Filterable)#$@$#returnType#$@$#FIELD	darwin.nodeFilter.HeightRange	null	returnType	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/HeightRange.java
darwin.nodeFilter.HeightRange#$@$#accept(darwin.nodeFilter.Filterable)#$@$#node.getReturnType#$@$#METHOD	darwin.nodeFilter.Filterable	getReturnType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/Filterable.java
darwin.nodeFilter.HeightRange#$@$#accept(darwin.nodeFilter.Filterable)#$@$#node#$@$#PARAMETER	darwin.nodeFilter.HeightRange	accept(darwin.nodeFilter.Filterable)	node	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/HeightRange.java
darwin.nodeFilter.HeightRange#$@$#accept(darwin.nodeFilter.Filterable)#$@$#node.getHeight#$@$#METHOD	darwin.nodeFilter.Filterable	getHeight(boolean)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/Filterable.java
darwin.nodeFilter.HeightRange#$@$#accept(darwin.nodeFilter.Filterable)#$@$#node#$@$#PARAMETER	darwin.nodeFilter.HeightRange	accept(darwin.nodeFilter.Filterable)	node	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/HeightRange.java
darwin.nodeFilter.HeightRange#$@$#accept(darwin.nodeFilter.Filterable)#$@$#min#$@$#FIELD	darwin.nodeFilter.HeightRange	null	min	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/HeightRange.java
darwin.nodeFilter.HeightRange#$@$#accept(darwin.nodeFilter.Filterable)#$@$#node.getHeight#$@$#METHOD	darwin.nodeFilter.Filterable	getHeight(boolean)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/Filterable.java
darwin.nodeFilter.HeightRange#$@$#accept(darwin.nodeFilter.Filterable)#$@$#node#$@$#PARAMETER	darwin.nodeFilter.HeightRange	accept(darwin.nodeFilter.Filterable)	node	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/HeightRange.java
darwin.nodeFilter.HeightRange#$@$#accept(darwin.nodeFilter.Filterable)#$@$#max#$@$#FIELD	darwin.nodeFilter.HeightRange	null	max	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/HeightRange.java
darwin.nodeFilter.Signature#$@$#Signature(java.lang.Class,java.lang.Class[])#$@$#this.returnType#$@$#FIELD	darwin.nodeFilter.Signature	null	returnType	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/Signature.java
darwin.nodeFilter.Signature#$@$#Signature(java.lang.Class,java.lang.Class[])#$@$#this#$@$#FIELD	darwin.nodeFilter.Signature	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/Signature.java
darwin.nodeFilter.Signature#$@$#Signature(java.lang.Class,java.lang.Class[])#$@$#returnType#$@$#PARAMETER	darwin.nodeFilter.Signature	Signature(java.lang.Class,java.lang.Class[])	returnType	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/Signature.java
darwin.nodeFilter.Signature#$@$#Signature(java.lang.Class,java.lang.Class[])#$@$#this.childTypes#$@$#FIELD	darwin.nodeFilter.Signature	null	childTypes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/Signature.java
darwin.nodeFilter.Signature#$@$#Signature(java.lang.Class,java.lang.Class[])#$@$#this#$@$#FIELD	darwin.nodeFilter.Signature	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/Signature.java
darwin.nodeFilter.Signature#$@$#Signature(java.lang.Class,java.lang.Class[])#$@$#childTypes#$@$#PARAMETER	darwin.nodeFilter.Signature	Signature(java.lang.Class,java.lang.Class[])	childTypes	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/Signature.java
darwin.nodeFilter.Signature#$@$#accept(darwin.nodeFilter.Filterable)#$@$#returnType.isAssignableFrom#$@$#METHOD	java.lang.Class	isAssignableFrom(java.lang.Class)	null	null	null
darwin.nodeFilter.Signature#$@$#accept(darwin.nodeFilter.Filterable)#$@$#returnType#$@$#FIELD	darwin.nodeFilter.Signature	null	returnType	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/Signature.java
darwin.nodeFilter.Signature#$@$#accept(darwin.nodeFilter.Filterable)#$@$#node.getReturnType#$@$#METHOD	darwin.nodeFilter.Filterable	getReturnType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/Filterable.java
darwin.nodeFilter.Signature#$@$#accept(darwin.nodeFilter.Filterable)#$@$#node#$@$#PARAMETER	darwin.nodeFilter.Signature	accept(darwin.nodeFilter.Filterable)	node	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/Signature.java
darwin.nodeFilter.Signature#$@$#accept(darwin.nodeFilter.Filterable)#$@$#childTypes.length#$@$#FIELD	Array	null	length	null	null
darwin.nodeFilter.Signature#$@$#accept(darwin.nodeFilter.Filterable)#$@$#childTypes#$@$#FIELD	darwin.nodeFilter.Signature	null	childTypes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/Signature.java
darwin.nodeFilter.Signature#$@$#accept(darwin.nodeFilter.Filterable)#$@$#node.getArity#$@$#METHOD	darwin.nodeFilter.Filterable	getArity()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/Filterable.java
