enc_class	enc_method	exp	kind	class	method	param	index	uri
com.andreev.parking.logic.ParkingList#$@$#getInstence()#$@$#com.andreev.parking.logic.ParkingList$ParkingListHolder.PARKING_LIST#$@$#FIELD	com.andreev.parking.logic.ParkingList$ParkingListHolder	null	PARKING_LIST	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/logic/ParkingList.java
com.andreev.parking.model.exception.CarException#$@$#CarException(java.lang.String,java.lang.Throwable,boolean,boolean)#$@$#message#$@$#PARAMETER	com.andreev.parking.model.exception.CarException	CarException(java.lang.String,java.lang.Throwable,boolean,boolean)	message	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/exception/CarException.java
com.andreev.parking.model.exception.CarException#$@$#CarException(java.lang.String,java.lang.Throwable,boolean,boolean)#$@$#cause#$@$#PARAMETER	com.andreev.parking.model.exception.CarException	CarException(java.lang.String,java.lang.Throwable,boolean,boolean)	cause	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/exception/CarException.java
com.andreev.parking.model.exception.CarException#$@$#CarException(java.lang.String,java.lang.Throwable,boolean,boolean)#$@$#enableSuppression#$@$#PARAMETER	com.andreev.parking.model.exception.CarException	CarException(java.lang.String,java.lang.Throwable,boolean,boolean)	enableSuppression	2	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/exception/CarException.java
com.andreev.parking.model.exception.CarException#$@$#CarException(java.lang.String,java.lang.Throwable,boolean,boolean)#$@$#writableStackTrace#$@$#PARAMETER	com.andreev.parking.model.exception.CarException	CarException(java.lang.String,java.lang.Throwable,boolean,boolean)	writableStackTrace	3	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/exception/CarException.java
com.andreev.parking.model.ParkingPlace#$@$#getId()#$@$#id#$@$#FIELD	com.andreev.parking.model.ParkingPlace	null	id	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlace.java
com.andreev.parking.model.ParkingPlace#$@$#setId(int)#$@$#id#$@$#PARAMETER	com.andreev.parking.model.ParkingPlace	setId(int)	id	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlace.java
com.andreev.parking.model.ParkingPlace#$@$#setId(int)#$@$#this.id#$@$#FIELD	com.andreev.parking.model.ParkingPlace	null	id	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlace.java
com.andreev.parking.model.ParkingPlace#$@$#setId(int)#$@$#this#$@$#FIELD	com.andreev.parking.model.ParkingPlace	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlace.java
com.andreev.parking.model.ParkingPlace#$@$#setId(int)#$@$#id#$@$#PARAMETER	com.andreev.parking.model.ParkingPlace	setId(int)	id	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlace.java
com.andreev.parking.model.ParkingPlace#$@$#isUsed()#$@$#isUsed#$@$#FIELD	com.andreev.parking.model.ParkingPlace	null	isUsed	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlace.java
com.andreev.parking.model.ParkingPlace#$@$#togleUsed()#$@$#this.isUsed#$@$#FIELD	com.andreev.parking.model.ParkingPlace	null	isUsed	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlace.java
com.andreev.parking.model.ParkingPlace#$@$#togleUsed()#$@$#this#$@$#FIELD	com.andreev.parking.model.ParkingPlace	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlace.java
com.andreev.parking.model.ParkingPlace#$@$#togleUsed()#$@$#this.isUsed#$@$#FIELD	com.andreev.parking.model.ParkingPlace	null	isUsed	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlace.java
com.andreev.parking.model.ParkingPlace#$@$#togleUsed()#$@$#this#$@$#FIELD	com.andreev.parking.model.ParkingPlace	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlace.java
com.andreev.parking.model.ParkingPlace#$@$#using(int)#$@$#TimeUnit.MILLISECONDS.sleep#$@$#METHOD	java.util.concurrent.TimeUnit	sleep(long)	null	null	null
com.andreev.parking.model.ParkingPlace#$@$#using(int)#$@$#usingTimeMillis#$@$#PARAMETER	com.andreev.parking.model.ParkingPlace	using(int)	usingTimeMillis	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlace.java
com.andreev.parking.model.ParkingPlace#$@$#toString()#$@$#sb.append#$@$#METHOD	java.lang.StringBuilder	append(java.lang.String)	null	null	null
com.andreev.parking.model.ParkingPlace#$@$#toString()#$@$#getClass().getSimpleName#$@$#METHOD	java.lang.Class	getSimpleName()	null	null	null
com.andreev.parking.model.ParkingPlace#$@$#toString()#$@$#getClass#$@$#METHOD	java.lang.Object	getClass()	null	null	null
com.andreev.parking.model.ParkingPlace#$@$#toString()#$@$#sb.append#$@$#METHOD	java.lang.StringBuilder	append(java.lang.String)	null	null	null
com.andreev.parking.model.ParkingPlace#$@$#toString()#$@$#getId#$@$#METHOD	com.andreev.parking.model.ParkingPlace	getId()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlace.java
com.andreev.parking.model.ParkingPlace#$@$#toString()#$@$#sb.toString#$@$#METHOD	java.lang.StringBuilder	toString()	null	null	null
com.andreev.parking.logic.CarExecuter#$@$#execute(java.util.List)#$@$#cars#$@$#PARAMETER	com.andreev.parking.logic.CarExecuter	execute(java.util.List)	cars	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/logic/CarExecuter.java
com.andreev.parking.logic.CarExecuter#$@$#execute(java.util.List)#$@$#executor.execute#$@$#METHOD	java.util.concurrent.Executor	execute(java.lang.Runnable)	null	null	null
com.andreev.parking.logic.CarExecuter#$@$#execute(java.util.List)#$@$#executor#$@$#FIELD	com.andreev.parking.logic.CarExecuter	null	executor	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/logic/CarExecuter.java
com.andreev.parking.logic.CarExecuter#$@$#execute(com.andreev.parking.model.Car)#$@$#executor.execute#$@$#METHOD	java.util.concurrent.Executor	execute(java.lang.Runnable)	null	null	null
com.andreev.parking.logic.CarExecuter#$@$#execute(com.andreev.parking.model.Car)#$@$#executor#$@$#FIELD	com.andreev.parking.logic.CarExecuter	null	executor	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/logic/CarExecuter.java
com.andreev.parking.logic.CarExecuter#$@$#execute(com.andreev.parking.model.Car)#$@$#c#$@$#PARAMETER	com.andreev.parking.logic.CarExecuter	execute(com.andreev.parking.model.Car)	c	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/logic/CarExecuter.java
com.andreev.parking.logic.CarExecuter#$@$#shutdown()#$@$#executor.shutdown#$@$#METHOD	java.util.concurrent.ExecutorService	shutdown()	null	null	null
com.andreev.parking.logic.CarExecuter#$@$#shutdown()#$@$#executor#$@$#FIELD	com.andreev.parking.logic.CarExecuter	null	executor	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/logic/CarExecuter.java
com.andreev.parking.model.Car#$@$#getId()#$@$#id#$@$#FIELD	com.andreev.parking.model.Car	null	id	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#setId(int)#$@$#id#$@$#PARAMETER	com.andreev.parking.model.Car	setId(int)	id	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#setId(int)#$@$#this.id#$@$#FIELD	com.andreev.parking.model.Car	null	id	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#setId(int)#$@$#this#$@$#FIELD	com.andreev.parking.model.Car	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#setId(int)#$@$#id#$@$#PARAMETER	com.andreev.parking.model.Car	setId(int)	id	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#getMaxWaitTimeMillis()#$@$#maxWaitTimeMillis#$@$#FIELD	com.andreev.parking.model.Car	null	maxWaitTimeMillis	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#setMaxWaitTimeMillis(int)#$@$#maxWaitMillis#$@$#PARAMETER	com.andreev.parking.model.Car	setMaxWaitTimeMillis(int)	maxWaitMillis	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#setMaxWaitTimeMillis(int)#$@$#this.maxWaitTimeMillis#$@$#FIELD	com.andreev.parking.model.Car	null	maxWaitTimeMillis	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#setMaxWaitTimeMillis(int)#$@$#this#$@$#FIELD	com.andreev.parking.model.Car	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#setMaxWaitTimeMillis(int)#$@$#maxWaitMillis#$@$#PARAMETER	com.andreev.parking.model.Car	setMaxWaitTimeMillis(int)	maxWaitMillis	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#getParkTimeMillis()#$@$#parkTimeMillis#$@$#FIELD	com.andreev.parking.model.Car	null	parkTimeMillis	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#setParkTimeMillis(int)#$@$#parkTimeMillis#$@$#PARAMETER	com.andreev.parking.model.Car	setParkTimeMillis(int)	parkTimeMillis	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#setParkTimeMillis(int)#$@$#this.parkTimeMillis#$@$#FIELD	com.andreev.parking.model.Car	null	parkTimeMillis	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#setParkTimeMillis(int)#$@$#this#$@$#FIELD	com.andreev.parking.model.Car	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#setParkTimeMillis(int)#$@$#parkTimeMillis#$@$#PARAMETER	com.andreev.parking.model.Car	setParkTimeMillis(int)	parkTimeMillis	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#getParkings()#$@$#parkings#$@$#FIELD	com.andreev.parking.model.Car	null	parkings	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#setParkings(java.lang.Iterable)#$@$#iterable#$@$#PARAMETER	com.andreev.parking.model.Car	setParkings(java.lang.Iterable)	iterable	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#setParkings(java.lang.Iterable)#$@$#this.parkings#$@$#FIELD	com.andreev.parking.model.Car	null	parkings	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#setParkings(java.lang.Iterable)#$@$#this#$@$#FIELD	com.andreev.parking.model.Car	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#setParkings(java.lang.Iterable)#$@$#iterable#$@$#PARAMETER	com.andreev.parking.model.Car	setParkings(java.lang.Iterable)	iterable	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#run()#$@$#parkings#$@$#FIELD	com.andreev.parking.model.Car	null	parkings	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#run()#$@$#LOG.info#$@$#METHOD	org.apache.log4j.Category	info(java.lang.Object)	null	null	null
com.andreev.parking.model.Car#$@$#run()#$@$#com.andreev.parking.model.Car.LOG#$@$#FIELD	com.andreev.parking.model.Car	null	LOG	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#run()#$@$#toString#$@$#METHOD	com.andreev.parking.model.Car	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#run()#$@$#take#$@$#METHOD	com.andreev.parking.model.Car	take(com.andreev.parking.model.IParking)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#run()#$@$#using#$@$#METHOD	com.andreev.parking.model.Car	using(com.andreev.parking.model.ParkingPlace)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#run()#$@$#LOG.info#$@$#METHOD	org.apache.log4j.Category	info(java.lang.Object)	null	null	null
com.andreev.parking.model.Car#$@$#run()#$@$#com.andreev.parking.model.Car.LOG#$@$#FIELD	com.andreev.parking.model.Car	null	LOG	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#run()#$@$#toString#$@$#METHOD	com.andreev.parking.model.Car	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#run()#$@$#e.getMessage#$@$#METHOD	java.lang.Throwable	getMessage()	null	null	null
com.andreev.parking.model.Car#$@$#run()#$@$#leave#$@$#METHOD	com.andreev.parking.model.Car	leave(com.andreev.parking.model.IParking,com.andreev.parking.model.ParkingPlace)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#run()#$@$#LOG.error#$@$#METHOD	org.apache.log4j.Category	error(java.lang.Object,java.lang.Throwable)	null	null	null
com.andreev.parking.model.Car#$@$#run()#$@$#com.andreev.parking.model.Car.LOG#$@$#FIELD	com.andreev.parking.model.Car	null	LOG	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#run()#$@$#LOG.warn#$@$#METHOD	org.apache.log4j.Category	warn(java.lang.Object)	null	null	null
com.andreev.parking.model.Car#$@$#run()#$@$#com.andreev.parking.model.Car.LOG#$@$#FIELD	com.andreev.parking.model.Car	null	LOG	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#run()#$@$#toString#$@$#METHOD	com.andreev.parking.model.Car	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#take(com.andreev.parking.model.IParking)#$@$#parking.getPlacePool().getParkingPlace#$@$#METHOD	com.andreev.parking.model.ParkingPlacePool	getParkingPlace(long)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.Car#$@$#take(com.andreev.parking.model.IParking)#$@$#parking.getPlacePool#$@$#METHOD	com.andreev.parking.model.IParking	getPlacePool()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/IParking.java
com.andreev.parking.model.Car#$@$#take(com.andreev.parking.model.IParking)#$@$#parking#$@$#PARAMETER	com.andreev.parking.model.Car	take(com.andreev.parking.model.IParking)	parking	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#take(com.andreev.parking.model.IParking)#$@$#getMaxWaitTimeMillis#$@$#METHOD	com.andreev.parking.model.Car	getMaxWaitTimeMillis()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#take(com.andreev.parking.model.IParking)#$@$#LOG.info#$@$#METHOD	org.apache.log4j.Category	info(java.lang.Object)	null	null	null
com.andreev.parking.model.Car#$@$#take(com.andreev.parking.model.IParking)#$@$#com.andreev.parking.model.Car.LOG#$@$#FIELD	com.andreev.parking.model.Car	null	LOG	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#take(com.andreev.parking.model.IParking)#$@$#toString#$@$#METHOD	com.andreev.parking.model.Car	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#using(com.andreev.parking.model.ParkingPlace)#$@$#place.using#$@$#METHOD	com.andreev.parking.model.ParkingPlace	using(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlace.java
com.andreev.parking.model.Car#$@$#using(com.andreev.parking.model.ParkingPlace)#$@$#place#$@$#PARAMETER	com.andreev.parking.model.Car	using(com.andreev.parking.model.ParkingPlace)	place	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#using(com.andreev.parking.model.ParkingPlace)#$@$#getParkTimeMillis#$@$#METHOD	com.andreev.parking.model.Car	getParkTimeMillis()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#leave(com.andreev.parking.model.IParking,com.andreev.parking.model.ParkingPlace)#$@$#parking.getPlacePool().returnParkingPlace#$@$#METHOD	com.andreev.parking.model.ParkingPlacePool	returnParkingPlace(com.andreev.parking.model.ParkingPlace)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/ParkingPlacePool.java
com.andreev.parking.model.Car#$@$#leave(com.andreev.parking.model.IParking,com.andreev.parking.model.ParkingPlace)#$@$#parking.getPlacePool#$@$#METHOD	com.andreev.parking.model.IParking	getPlacePool()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/IParking.java
com.andreev.parking.model.Car#$@$#leave(com.andreev.parking.model.IParking,com.andreev.parking.model.ParkingPlace)#$@$#parking#$@$#PARAMETER	com.andreev.parking.model.Car	leave(com.andreev.parking.model.IParking,com.andreev.parking.model.ParkingPlace)	parking	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#leave(com.andreev.parking.model.IParking,com.andreev.parking.model.ParkingPlace)#$@$#place#$@$#PARAMETER	com.andreev.parking.model.Car	leave(com.andreev.parking.model.IParking,com.andreev.parking.model.ParkingPlace)	place	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#leave(com.andreev.parking.model.IParking,com.andreev.parking.model.ParkingPlace)#$@$#LOG.info#$@$#METHOD	org.apache.log4j.Category	info(java.lang.Object)	null	null	null
com.andreev.parking.model.Car#$@$#leave(com.andreev.parking.model.IParking,com.andreev.parking.model.ParkingPlace)#$@$#com.andreev.parking.model.Car.LOG#$@$#FIELD	com.andreev.parking.model.Car	null	LOG	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
com.andreev.parking.model.Car#$@$#leave(com.andreev.parking.model.IParking,com.andreev.parking.model.ParkingPlace)#$@$#toString#$@$#METHOD	com.andreev.parking.model.Car	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlaf0069908d_AlexanderAndreev_Parking_tgz-pJ8-com_andreev_parking_controller_RunnerJ8/src/com/andreev/parking/model/Car.java
