enc_class	enc_method	exp	kind	class	method	param	index	uri
com.strategy.api.interpreter.InterpreterManager#$@$#scheduleInterpreter(java.lang.Thread)#$@$#scheduler.scheduleWithFixedDelay#$@$#METHOD	java.util.concurrent.ScheduledExecutorService	scheduleWithFixedDelay(java.lang.Runnable,long,long,java.util.concurrent.TimeUnit)	null	null	null
com.strategy.api.interpreter.StrategyInterpreter#$@$#run()#$@$#Debug.create#$@$#METHOD	com.strategy.util.Debug	create(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/Debug.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#run()#$@$#p.answerTurn#$@$#METHOD	com.strategy.api.logic.prediction.Prediction	answerTurn(int,com.strategy.util.StoneColor)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/logic/prediction/Prediction.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#run()#$@$#p#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	p	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#run()#$@$#cpuColor.getOpposite#$@$#METHOD	com.strategy.util.StoneColor	getOpposite()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/StoneColor.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#run()#$@$#cpuColor#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	cpuColor	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#run()#$@$#answerlog.log#$@$#METHOD	com.strategy.util.Debug	log()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/Debug.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#run()#$@$#printCpuTurn#$@$#METHOD	com.strategy.api.interpreter.StrategyInterpreter	printCpuTurn(int,int,com.strategy.util.StoneColor)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#run()#$@$#board.getBoardSize#$@$#METHOD	com.strategy.api.board.Board	getBoardSize()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/board/Board.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#run()#$@$#board#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	board	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#run()#$@$#cpuColor#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	cpuColor	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#run()#$@$#p.isWinWhite#$@$#METHOD	com.strategy.api.logic.prediction.Prediction	isWinWhite()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/logic/prediction/Prediction.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#run()#$@$#p#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	p	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#run()#$@$#win#$@$#METHOD	com.strategy.api.interpreter.StrategyInterpreter	win(com.strategy.util.StoneColor)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#run()#$@$#p.isWinBlack#$@$#METHOD	com.strategy.api.logic.prediction.Prediction	isWinBlack()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/logic/prediction/Prediction.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#run()#$@$#p#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	p	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#run()#$@$#win#$@$#METHOD	com.strategy.api.interpreter.StrategyInterpreter	win(com.strategy.util.StoneColor)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#run()#$@$#printInputError#$@$#METHOD	com.strategy.api.interpreter.StrategyInterpreter	printInputError()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdChangeColor(java.lang.String)#$@$#StoneColor.parse#$@$#METHOD	com.strategy.util.StoneColor	parse(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/StoneColor.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdChangeColor(java.lang.String)#$@$#line.substring#$@$#METHOD	java.lang.String	substring(int)	null	null	null
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdChangeColor(java.lang.String)#$@$#line#$@$#PARAMETER	com.strategy.api.interpreter.StrategyInterpreter	cmdChangeColor(java.lang.String)	line	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdChangeColor(java.lang.String)#$@$#StoneColor.EMPTY.equals#$@$#METHOD	java.lang.Enum	equals(java.lang.Object)	null	null	null
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdChangeColor(java.lang.String)#$@$#cpuColor#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	cpuColor	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdChangeColor(java.lang.String)#$@$#parsed.getOpposite#$@$#METHOD	com.strategy.util.StoneColor	getOpposite()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/StoneColor.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdChangeColor(java.lang.String)#$@$#out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdChangeColor(java.lang.String)#$@$#com.strategy.api.interpreter.StrategyInterpreter.out#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	out	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdChangeColor(java.lang.String)#$@$#cpuColor.getOpposite#$@$#METHOD	com.strategy.util.StoneColor	getOpposite()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/StoneColor.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdChangeColor(java.lang.String)#$@$#cpuColor#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	cpuColor	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#board.getField#$@$#METHOD	com.strategy.api.board.Board	getField(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/board/Board.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#board#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	board	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#lastTurn#$@$#PARAMETER	com.strategy.api.interpreter.StrategyInterpreter	cmdSwap(java.lang.Integer)	lastTurn	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#board.setField#$@$#METHOD	com.strategy.api.board.Board	setField(com.strategy.api.field.Field)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/board/Board.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#board#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	board	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#FieldGenerator.create#$@$#METHOD	com.strategy.util.FieldGenerator	create(java.lang.Integer,com.strategy.api.logic.Position,java.lang.Integer)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/FieldGenerator.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#cpuColor.getOpposite().getPrimitive#$@$#METHOD	com.strategy.util.StoneColor	getPrimitive()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/StoneColor.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#cpuColor.getOpposite#$@$#METHOD	com.strategy.util.StoneColor	getOpposite()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/StoneColor.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#cpuColor#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	cpuColor	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#lastField.getPosition#$@$#METHOD	com.strategy.api.field.Field	getPosition()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/field/Field.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#lastField.getIndex#$@$#METHOD	com.strategy.api.field.Field	getIndex()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/field/Field.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#p.getTurnsSoFar#$@$#METHOD	com.strategy.api.logic.prediction.Prediction	getTurnsSoFar()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/logic/prediction/Prediction.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#p#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	p	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#turns.size#$@$#METHOD	java.util.List	size()	null	null	null
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#turns.set#$@$#METHOD	java.util.List	set(int,E)	null	null	null
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#turns.size#$@$#METHOD	java.util.List	size()	null	null	null
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#RowConstant.parse#$@$#METHOD	com.strategy.util.RowConstant	parse(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/RowConstant.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#lastTurn#$@$#PARAMETER	com.strategy.api.interpreter.StrategyInterpreter	cmdSwap(java.lang.Integer)	lastTurn	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#board.getBoardSize#$@$#METHOD	com.strategy.api.board.Board	getBoardSize()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/board/Board.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#board#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	board	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#RowConstant.parseToCoordNumber#$@$#METHOD	com.strategy.util.RowConstant	parseToCoordNumber(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/RowConstant.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#lastTurn#$@$#PARAMETER	com.strategy.api.interpreter.StrategyInterpreter	cmdSwap(java.lang.Integer)	lastTurn	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#board.getBoardSize#$@$#METHOD	com.strategy.api.board.Board	getBoardSize()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/board/Board.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#board#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	board	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#cpuColor.getOpposite#$@$#METHOD	com.strategy.util.StoneColor	getOpposite()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/StoneColor.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#cpuColor#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	cpuColor	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#p#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	p	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#board#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	board	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#lastTurn#$@$#PARAMETER	com.strategy.api.interpreter.StrategyInterpreter	cmdSwap(java.lang.Integer)	lastTurn	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwap(java.lang.Integer)#$@$#cmdSwitch#$@$#METHOD	com.strategy.api.interpreter.StrategyInterpreter	cmdSwitch()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwitch()#$@$#cpuColor#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	cpuColor	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwitch()#$@$#cpuColor.getOpposite#$@$#METHOD	com.strategy.util.StoneColor	getOpposite()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/util/StoneColor.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdSwitch()#$@$#cpuColor#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	cpuColor	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#cmdExit()#$@$#exit#$@$#METHOD	com.strategy.api.interpreter.StrategyInterpreter	exit()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#checkCmdRedo(java.lang.String)#$@$#CMD_REDO.equals#$@$#METHOD	java.lang.String	equals(java.lang.Object)	null	null	null
com.strategy.api.interpreter.StrategyInterpreter#$@$#checkCmdRedo(java.lang.String)#$@$#com.strategy.api.interpreter.InterpreterCommands.CMD_REDO#$@$#FIELD	com.strategy.api.interpreter.InterpreterCommands	null	CMD_REDO	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/InterpreterCommands.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#checkCmdRedo(java.lang.String)#$@$#line#$@$#PARAMETER	com.strategy.api.interpreter.StrategyInterpreter	checkCmdRedo(java.lang.String)	line	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#checkCmdRedo(java.lang.String)#$@$#lastLine#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	lastLine	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#checkCmdRedo(java.lang.String)#$@$#lastLine#$@$#FIELD	com.strategy.api.interpreter.StrategyInterpreter	null	lastLine	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#checkCmdRedo(java.lang.String)#$@$#line#$@$#PARAMETER	com.strategy.api.interpreter.StrategyInterpreter	checkCmdRedo(java.lang.String)	line	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#checkCmdRedo(java.lang.String)#$@$#line#$@$#PARAMETER	com.strategy.api.interpreter.StrategyInterpreter	checkCmdRedo(java.lang.String)	line	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#readIndex(java.lang.String,com.strategy.api.board.Board)#$@$#board.getRows#$@$#METHOD	com.strategy.api.board.Board	getRows()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/board/Board.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#readIndex(java.lang.String,com.strategy.api.board.Board)#$@$#board#$@$#PARAMETER	com.strategy.api.interpreter.StrategyInterpreter	readIndex(java.lang.String,com.strategy.api.board.Board)	board	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#readIndex(java.lang.String,com.strategy.api.board.Board)#$@$#board.getColumns#$@$#METHOD	com.strategy.api.board.Board	getColumns()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/board/Board.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#readIndex(java.lang.String,com.strategy.api.board.Board)#$@$#board#$@$#PARAMETER	com.strategy.api.interpreter.StrategyInterpreter	readIndex(java.lang.String,com.strategy.api.board.Board)	board	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
com.strategy.api.interpreter.StrategyInterpreter#$@$#readIndex(java.lang.String,com.strategy.api.board.Board)#$@$#Integer.parseInt#$@$#METHOD	java.lang.Integer	parseInt(java.lang.String)	null	null	null
com.strategy.api.interpreter.StrategyInterpreter#$@$#readIndex(java.lang.String,com.strategy.api.board.Board)#$@$#line#$@$#PARAMETER	com.strategy.api.interpreter.StrategyInterpreter	readIndex(java.lang.String,com.strategy.api.board.Board)	line	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlbf4fd38f68_rduerig_StrategyBDD_tgz-pJ8-com_strategy_util_TestMainJ8/src/com/strategy/api/interpreter/StrategyInterpreter.java
