enc_class	enc_method	exp	kind	class	method	param	index	uri
net.katsuster.ememu.ui.Main#$@$#usage(java.lang.String[])#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst.getField#$@$#METHOD	net.katsuster.ememu.generic.Instruction	getField(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Instruction.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst.getField#$@$#METHOD	net.katsuster.ememu.generic.Instruction	getField(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Instruction.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#getAddrMode2ImmName#$@$#METHOD	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#getAddrMode2RegName#$@$#METHOD	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode2RegName(net.katsuster.ememu.arm.core.InstructionARM)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#getAddrMode2ScaledName#$@$#METHOD	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode2ScaledName(net.katsuster.ememu.arm.core.InstructionARM)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#String.format#$@$#METHOD	java.lang.String	format(java.lang.String,java.lang.Object[])	null	null	null
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#getRegName#$@$#METHOD	net.katsuster.ememu.generic.Stage	getRegName(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Stage.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#String.format#$@$#METHOD	java.lang.String	format(java.lang.String,java.lang.Object[])	null	null	null
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#getRegName#$@$#METHOD	net.katsuster.ememu.generic.Stage	getRegName(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Stage.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#String.format#$@$#METHOD	java.lang.String	format(java.lang.String,java.lang.Object[])	null	null	null
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#getRegName#$@$#METHOD	net.katsuster.ememu.generic.Stage	getRegName(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Stage.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#String.format#$@$#METHOD	java.lang.String	format(java.lang.String,java.lang.Object[])	null	null	null
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst.getBit#$@$#METHOD	net.katsuster.ememu.generic.Instruction	getBit(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Instruction.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst.getBit#$@$#METHOD	net.katsuster.ememu.generic.Instruction	getBit(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Instruction.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst.getBit#$@$#METHOD	net.katsuster.ememu.generic.Instruction	getBit(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Instruction.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst.getRnField#$@$#METHOD	net.katsuster.ememu.arm.core.InstructionARM	getRnField()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/InstructionARM.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst.getField#$@$#METHOD	net.katsuster.ememu.generic.Instruction	getField(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Instruction.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#String.format#$@$#METHOD	java.lang.String	format(java.lang.String,java.lang.Object[])	null	null	null
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#getRegName#$@$#METHOD	net.katsuster.ememu.generic.Stage	getRegName(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Stage.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#String.format#$@$#METHOD	java.lang.String	format(java.lang.String,java.lang.Object[])	null	null	null
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#getRegName#$@$#METHOD	net.katsuster.ememu.generic.Stage	getRegName(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Stage.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#String.format#$@$#METHOD	java.lang.String	format(java.lang.String,java.lang.Object[])	null	null	null
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#getRegName#$@$#METHOD	net.katsuster.ememu.generic.Stage	getRegName(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Stage.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2ImmName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#String.format#$@$#METHOD	java.lang.String	format(java.lang.String,java.lang.Object[])	null	null	null
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2RegName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#getAddrMode1ImmShiftName#$@$#METHOD	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode1ImmShiftName(net.katsuster.ememu.arm.core.InstructionARM)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2RegName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode2RegName(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2ScaledName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#getAddrMode1ImmShiftName#$@$#METHOD	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode1ImmShiftName(net.katsuster.ememu.arm.core.InstructionARM)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode2ScaledName(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode2ScaledName(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst.getBit#$@$#METHOD	net.katsuster.ememu.generic.Instruction	getBit(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Instruction.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode3(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst.getBit#$@$#METHOD	net.katsuster.ememu.generic.Instruction	getBit(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Instruction.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode3(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst.getRnField#$@$#METHOD	net.katsuster.ememu.arm.core.InstructionARM	getRnField()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/InstructionARM.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode3(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3(net.katsuster.ememu.arm.core.InstructionARM)#$@$#getAddrMode3Imm#$@$#METHOD	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode3Imm(net.katsuster.ememu.arm.core.InstructionARM)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode3(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3(net.katsuster.ememu.arm.core.InstructionARM)#$@$#getAddrMode3Reg#$@$#METHOD	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode3Reg(net.katsuster.ememu.arm.core.InstructionARM)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode3(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3(net.katsuster.ememu.arm.core.InstructionARM)#$@$#getReg#$@$#METHOD	net.katsuster.ememu.generic.Stage	getReg(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Stage.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3Imm(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst.getField#$@$#METHOD	net.katsuster.ememu.generic.Instruction	getField(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Instruction.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3Imm(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode3Imm(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3Imm(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst.getField#$@$#METHOD	net.katsuster.ememu.generic.Instruction	getField(int,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Instruction.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3Imm(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode3Imm(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3Reg(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst.getRmField#$@$#METHOD	net.katsuster.ememu.arm.core.InstructionARM	getRmField()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/InstructionARM.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3Reg(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode3Reg(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3Reg(net.katsuster.ememu.arm.core.InstructionARM)#$@$#getReg#$@$#METHOD	net.katsuster.ememu.generic.Stage	getReg(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Stage.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst.getBit#$@$#METHOD	net.katsuster.ememu.generic.Instruction	getBit(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/generic/Instruction.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode3Name(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#getAddrMode3ImmName#$@$#METHOD	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode3ImmName(net.katsuster.ememu.arm.core.InstructionARM)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#inst#$@$#PARAMETER	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode3Name(net.katsuster.ememu.arm.core.InstructionARM)	inst	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
net.katsuster.ememu.arm.core.ExecStageARMv5#$@$#getAddrMode3Name(net.katsuster.ememu.arm.core.InstructionARM)#$@$#getAddrMode3RegName#$@$#METHOD	net.katsuster.ememu.arm.core.ExecStageARMv5	getAddrMode3RegName(net.katsuster.ememu.arm.core.InstructionARM)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url3aa01d34ec_katsuster_ememu_tgz-pJ8-net_katsuster_ememu_ui_MainJ8/src/net/katsuster/ememu/arm/core/ExecStageARMv5.java
