enc_class	enc_method	exp	kind	class	method	param	index	uri
Main#$@$#main(java.lang.String[])#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#java.awt.Color.GREEN#$@$#FIELD	java.awt.Color	null	GREEN	null	null
backend.StepRun#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#java.awt.Color.RED#$@$#FIELD	java.awt.Color	null	RED	null	null
backend.StepRun#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#backend.ScanFile.stepins#$@$#FIELD	backend.ScanFile	null	stepins	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#java.awt.Color.BLACK#$@$#FIELD	java.awt.Color	null	BLACK	null	null
backend.StepRun#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#java.awt.Color.RED#$@$#FIELD	java.awt.Color	null	RED	null	null
backend.StepRun#$@$#scanStart()#$@$#ScanFile.tokenizeInstruction#$@$#METHOD	backend.ScanFile	tokenizeInstruction(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.exceptionraised#$@$#FIELD	frontend.FrontEnd	null	exceptionraised	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#java.awt.Color.GREEN#$@$#FIELD	java.awt.Color	null	GREEN	null	null
backend.StepRun#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#backend.ScanFile.stepins#$@$#FIELD	backend.ScanFile	null	stepins	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#java.awt.Color.BLACK#$@$#FIELD	java.awt.Color	null	BLACK	null	null
backend.StepRun#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#java.awt.Color.GREEN#$@$#FIELD	java.awt.Color	null	GREEN	null	null
backend.StepRun#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#java.awt.Color.RED#$@$#FIELD	java.awt.Color	null	RED	null	null
backend.StepRun#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#backend.ScanFile.stepins#$@$#FIELD	backend.ScanFile	null	stepins	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#java.awt.Color.BLACK#$@$#FIELD	java.awt.Color	null	BLACK	null	null
backend.StepRun#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#java.awt.Color.RED#$@$#FIELD	java.awt.Color	null	RED	null	null
backend.StepRun#$@$#scanStart()#$@$#backend.StepRun.initial_pos#$@$#FIELD	backend.StepRun	null	initial_pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.StepRun#$@$#scanStart()#$@$#ScanFile.pos.intValue#$@$#METHOD	java.lang.Long	intValue()	null	null	null
backend.StepRun#$@$#scanStart()#$@$#backend.ScanFile.pos#$@$#FIELD	backend.ScanFile	null	pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#backend.StepRun.initial_pos#$@$#FIELD	backend.StepRun	null	initial_pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.StepRun#$@$#scanStart()#$@$#ScanFile.path.length#$@$#METHOD	java.io.File	length()	null	null	null
backend.StepRun#$@$#scanStart()#$@$#backend.ScanFile.path#$@$#FIELD	backend.ScanFile	null	path	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#ScanFile.br.seek#$@$#METHOD	java.io.RandomAccessFile	seek(long)	null	null	null
backend.StepRun#$@$#scanStart()#$@$#backend.ScanFile.br#$@$#FIELD	backend.ScanFile	null	br	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#backend.ScanFile.pos#$@$#FIELD	backend.ScanFile	null	pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#backend.StepRun.callbbeq#$@$#FIELD	backend.StepRun	null	callbbeq	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.StepRun#$@$#scanStart()#$@$#backend.StepRun.commentflag#$@$#FIELD	backend.StepRun	null	commentflag	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.steprun.setEnabled#$@$#METHOD	javax.swing.AbstractButton	setEnabled(boolean)	null	null	null
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.steprun#$@$#FIELD	frontend.FrontEnd	null	steprun	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.warning.setVisible#$@$#METHOD	javax.swing.JComponent	setVisible(boolean)	null	null	null
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.warning#$@$#FIELD	frontend.FrontEnd	null	warning	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.cross.setVisible#$@$#METHOD	javax.swing.JComponent	setVisible(boolean)	null	null	null
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.cross#$@$#FIELD	frontend.FrontEnd	null	cross	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.run_stepOut.setEnabled#$@$#METHOD	javax.swing.JMenuItem	setEnabled(boolean)	null	null	null
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.run_stepOut#$@$#FIELD	frontend.FrontEnd	null	run_stepOut	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.run_stepOver.setEnabled#$@$#METHOD	javax.swing.JMenuItem	setEnabled(boolean)	null	null	null
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.run_stepOver#$@$#FIELD	frontend.FrontEnd	null	run_stepOver	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.r_stepOut.setEnabled#$@$#METHOD	javax.swing.AbstractButton	setEnabled(boolean)	null	null	null
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.r_stepOut#$@$#FIELD	frontend.FrontEnd	null	r_stepOut	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.r_stepover.setEnabled#$@$#METHOD	javax.swing.AbstractButton	setEnabled(boolean)	null	null	null
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.r_stepover#$@$#FIELD	frontend.FrontEnd	null	r_stepover	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#frontend.checkpoint.reset#$@$#METHOD	frontend.checkpoint	reset()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/checkpoint.java
backend.StepRun#$@$#scanStart()#$@$#FrontEnd.reset.setEnabled#$@$#METHOD	javax.swing.JMenuItem	setEnabled(boolean)	null	null	null
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.reset#$@$#FIELD	frontend.FrontEnd	null	reset	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#backend.StepRun.callbbeq#$@$#FIELD	backend.StepRun	null	callbbeq	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.StepRun#$@$#scanStart()#$@$#backend.ScanFile.mainPresent#$@$#FIELD	backend.ScanFile	null	mainPresent	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#backend.StepRun.initial_pos#$@$#FIELD	backend.StepRun	null	initial_pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.StepRun#$@$#scanStart()#$@$#backend.ScanFile.br.seek#$@$#METHOD	java.io.RandomAccessFile	seek(long)	null	null	null
backend.StepRun#$@$#scanStart()#$@$#backend.ScanFile.br#$@$#FIELD	backend.ScanFile	null	br	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#backend.ScanFile.mainPosition#$@$#FIELD	backend.ScanFile	null	mainPosition	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#backend.ScanFile.pos#$@$#FIELD	backend.ScanFile	null	pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#backend.ScanFile.mainPosition#$@$#FIELD	backend.ScanFile	null	mainPosition	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#backend.StepRun.initial_pos#$@$#FIELD	backend.StepRun	null	initial_pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.StepRun#$@$#scanStart()#$@$#ScanFile.pos.intValue#$@$#METHOD	java.lang.Long	intValue()	null	null	null
backend.StepRun#$@$#scanStart()#$@$#backend.ScanFile.pos#$@$#FIELD	backend.ScanFile	null	pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#ScanFile.br.readLine#$@$#METHOD	java.io.RandomAccessFile	readLine()	null	null	null
backend.StepRun#$@$#scanStart()#$@$#backend.ScanFile.br#$@$#FIELD	backend.ScanFile	null	br	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#strLine.trim#$@$#METHOD	java.lang.String	trim()	null	null	null
backend.StepRun#$@$#scanStart()#$@$#backend.ScanFile.pos#$@$#FIELD	backend.ScanFile	null	pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#ScanFile.br.getFilePointer#$@$#METHOD	java.io.RandomAccessFile	getFilePointer()	null	null	null
backend.StepRun#$@$#scanStart()#$@$#backend.ScanFile.br#$@$#FIELD	backend.ScanFile	null	br	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#backend.StepRun.end_pos#$@$#FIELD	backend.StepRun	null	end_pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.StepRun#$@$#scanStart()#$@$#ScanFile.pos.intValue#$@$#METHOD	java.lang.Long	intValue()	null	null	null
backend.StepRun#$@$#scanStart()#$@$#backend.ScanFile.pos#$@$#FIELD	backend.ScanFile	null	pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#strLine.isEmpty#$@$#METHOD	java.lang.String	isEmpty()	null	null	null
backend.StepRun#$@$#scanStart()#$@$#backend.Register.r[16].b#$@$#FIELD	backend.Register_spec	null	b	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Register_spec.java
backend.StepRun#$@$#scanStart()#$@$#backend.Register.r#$@$#FIELD	backend.Register	null	r	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Register.java
backend.StepRun#$@$#scanStart()#$@$#ScanFile.pos.intValue#$@$#METHOD	java.lang.Long	intValue()	null	null	null
backend.StepRun#$@$#scanStart()#$@$#backend.ScanFile.pos#$@$#FIELD	backend.ScanFile	null	pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#backend.ScanFile.current_line#$@$#FIELD	backend.ScanFile	null	current_line	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#ScanFile.getLineNumber#$@$#METHOD	backend.ScanFile	getLineNumber(javax.swing.JEditorPane,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.activepane#$@$#FIELD	frontend.FrontEnd	null	activepane	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#backend.StepRun.initial_pos#$@$#FIELD	backend.StepRun	null	initial_pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.StepRun#$@$#scanStart()#$@$#strLine.trim#$@$#METHOD	java.lang.String	trim()	null	null	null
backend.StepRun#$@$#scanStart()#$@$#RemoveComments.setflag#$@$#METHOD	backend.RemoveComments	setflag(boolean)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/RemoveComments.java
backend.StepRun#$@$#scanStart()#$@$#backend.StepRun.commentflag#$@$#FIELD	backend.StepRun	null	commentflag	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.StepRun#$@$#scanStart()#$@$#backend.RemoveComments.RC#$@$#METHOD	backend.RemoveComments	RC(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/RemoveComments.java
backend.StepRun#$@$#scanStart()#$@$#backend.StepRun.commentflag#$@$#FIELD	backend.StepRun	null	commentflag	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.StepRun#$@$#scanStart()#$@$#RemoveComments.getcommetnflag#$@$#METHOD	backend.RemoveComments	getcommetnflag()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/RemoveComments.java
backend.StepRun#$@$#scanStart()#$@$#strLine.isEmpty#$@$#METHOD	java.lang.String	isEmpty()	null	null	null
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.highlight#$@$#METHOD	frontend.FrontEnd	highlight(int,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#backend.StepRun.initial_pos#$@$#FIELD	backend.StepRun	null	initial_pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.StepRun#$@$#scanStart()#$@$#java.awt.Color.CYAN#$@$#FIELD	java.awt.Color	null	CYAN	null	null
backend.StepRun#$@$#scanStart()#$@$#strLine.toUpperCase#$@$#METHOD	java.lang.String	toUpperCase()	null	null	null
backend.StepRun#$@$#scanStart()#$@$#strLine.contains#$@$#METHOD	java.lang.String	contains(java.lang.CharSequence)	null	null	null
backend.StepRun#$@$#scanStart()#$@$#st2.countTokens#$@$#METHOD	java.util.StringTokenizer	countTokens()	null	null	null
backend.StepRun#$@$#scanStart()#$@$#st2.nextToken#$@$#METHOD	java.util.StringTokenizer	nextToken()	null	null	null
backend.StepRun#$@$#scanStart()#$@$#st2.nextToken#$@$#METHOD	java.util.StringTokenizer	nextToken()	null	null	null
backend.StepRun#$@$#scanStart()#$@$#strLine.trim#$@$#METHOD	java.lang.String	trim()	null	null	null
backend.StepRun#$@$#scanStart()#$@$#ScanFile.tokenizeInstruction#$@$#METHOD	backend.ScanFile	tokenizeInstruction(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.exceptionraised#$@$#FIELD	frontend.FrontEnd	null	exceptionraised	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#java.awt.Color.GREEN#$@$#FIELD	java.awt.Color	null	GREEN	null	null
backend.StepRun#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.StepRun#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
