enc_class	enc_method	exp	kind	class	method	param	index	uri
hugo.project.hospital.NeedleDevice#$@$#NeedleDevice(int)#$@$#initialAmount#$@$#PARAMETER	hugo.project.hospital.NeedleDevice	NeedleDevice(int)	initialAmount	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/NeedleDevice.java
hugo.project.hospital.Hospital$Department#$@$#signOutPatient(hugo.project.hospital.Hospital.Reception.PatientInfo)#$@$#addPatientFromWaitingRoom#$@$#METHOD	hugo.project.hospital.Hospital$Department	addPatientFromWaitingRoom()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#signOutPatient(hugo.project.hospital.Hospital.Patient)#$@$#signOutPatient#$@$#METHOD	hugo.project.hospital.Hospital$Department	signOutPatient(hugo.project.hospital.Hospital.Reception.PatientInfo)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#signOutPatient(hugo.project.hospital.Hospital.Patient)#$@$#reception.getPatientInfo#$@$#METHOD	hugo.project.hospital.Hospital$Reception	getPatientInfo(hugo.project.hospital.Hospital.Patient)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#signOutPatient(hugo.project.hospital.Hospital.Patient)#$@$#reception#$@$#FIELD	hugo.project.hospital.Hospital	null	reception	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#signOutPatient(hugo.project.hospital.Hospital.Patient)#$@$#p#$@$#PARAMETER	hugo.project.hospital.Hospital$Department	signOutPatient(hugo.project.hospital.Hospital.Patient)	p	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#hasDevice(java.lang.String)#$@$#deviceFactory#$@$#METHOD	hugo.project.hospital.Hospital	deviceFactory(java.lang.String,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#hasDevice(java.lang.String)#$@$#type#$@$#PARAMETER	hugo.project.hospital.Hospital$Department	hasDevice(java.lang.String)	type	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#hasDevice(java.lang.String)#$@$#deviceList#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	deviceList	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#hasDevice(java.lang.String)#$@$#device.equals#$@$#METHOD	hugo.project.hospital.Device	equals(hugo.project.hospital.Device)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Hospital$Department#$@$#hasDevice(java.lang.String)#$@$#device.getAmount#$@$#METHOD	hugo.project.hospital.Device	getAmount()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Hospital$Department#$@$#addDevice(java.lang.String,int)#$@$#hasDevice#$@$#METHOD	hugo.project.hospital.Hospital$Department	hasDevice(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#addDevice(java.lang.String,int)#$@$#type#$@$#PARAMETER	hugo.project.hospital.Hospital$Department	addDevice(java.lang.String,int)	type	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#addDevice(java.lang.String,int)#$@$#newDevice.addAmount#$@$#METHOD	hugo.project.hospital.Device	addAmount(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Hospital$Department#$@$#addDevice(java.lang.String,int)#$@$#addAmount#$@$#PARAMETER	hugo.project.hospital.Hospital$Department	addDevice(java.lang.String,int)	addAmount	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#addDevice(java.lang.String,int)#$@$#deviceList.addFirst#$@$#METHOD	hugo.util.structure.LinkedList	addFirst(E)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.project.hospital.Hospital$Department#$@$#addDevice(java.lang.String,int)#$@$#deviceList#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	deviceList	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#addDevice(java.lang.String,int)#$@$#deviceFactory#$@$#METHOD	hugo.project.hospital.Hospital	deviceFactory(java.lang.String,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#addDevice(java.lang.String,int)#$@$#type#$@$#PARAMETER	hugo.project.hospital.Hospital$Department	addDevice(java.lang.String,int)	type	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#addDevice(java.lang.String,int)#$@$#addAmount#$@$#PARAMETER	hugo.project.hospital.Hospital$Department	addDevice(java.lang.String,int)	addAmount	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#removeDevice(java.lang.String)#$@$#hasDevice#$@$#METHOD	hugo.project.hospital.Hospital$Department	hasDevice(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#removeDevice(java.lang.String)#$@$#type#$@$#PARAMETER	hugo.project.hospital.Hospital$Department	removeDevice(java.lang.String)	type	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#removeDevice(java.lang.String)#$@$#deviceList.remove#$@$#METHOD	hugo.util.structure.LinkedList	remove(java.lang.Comparable)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.project.hospital.Hospital$Department#$@$#removeDevice(java.lang.String)#$@$#deviceList#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	deviceList	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#removeDevice(java.lang.String,int)#$@$#hasDevice#$@$#METHOD	hugo.project.hospital.Hospital$Department	hasDevice(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#removeDevice(java.lang.String,int)#$@$#type#$@$#PARAMETER	hugo.project.hospital.Hospital$Department	removeDevice(java.lang.String,int)	type	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#removeDevice(java.lang.String,int)#$@$#targetDevice.reduceAmount#$@$#METHOD	hugo.project.hospital.Device	reduceAmount(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Hospital$Department#$@$#removeDevice(java.lang.String,int)#$@$#amount#$@$#PARAMETER	hugo.project.hospital.Hospital$Department	removeDevice(java.lang.String,int)	amount	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#compareTo(hugo.project.hospital.Hospital.Department)#$@$#this.name.compareTo#$@$#METHOD	java.lang.String	compareTo(java.lang.String)	null	null	null
hugo.project.hospital.Hospital$Department#$@$#compareTo(hugo.project.hospital.Hospital.Department)#$@$#this.name#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#compareTo(hugo.project.hospital.Hospital.Department)#$@$#this#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#compareTo(hugo.project.hospital.Hospital.Department)#$@$#dep.name#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#compareTo(hugo.project.hospital.Hospital.Department)#$@$#dep#$@$#PARAMETER	hugo.project.hospital.Hospital$Department	compareTo(hugo.project.hospital.Hospital.Department)	dep	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#toString()#$@$#info#$@$#METHOD	hugo.project.hospital.Hospital$Department	info()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#getName()#$@$#name#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#info()#$@$#wardsForSingle#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	wardsForSingle	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#info()#$@$#room.toString#$@$#METHOD	hugo.project.hospital.Hospital$Department$Ward	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#info()#$@$#wardsForMulti#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	wardsForMulti	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#info()#$@$#room.toString#$@$#METHOD	hugo.project.hospital.Hospital$Department$Ward	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#info()#$@$#deviceList#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	deviceList	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#info()#$@$#device.getType#$@$#METHOD	hugo.project.hospital.Device	getType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Hospital$Department#$@$#info()#$@$#device.getAmount#$@$#METHOD	hugo.project.hospital.Device	getAmount()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Device.java
hugo.project.hospital.Hospital$Department#$@$#info()#$@$#this.getName#$@$#METHOD	hugo.project.hospital.Hospital$Department	getName()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#info()#$@$#this#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#info()#$@$#waitingRoom.toString#$@$#METHOD	hugo.project.hospital.Hospital$Department$WaitingRoom	toString()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$Department#$@$#info()#$@$#waitingRoom#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	waitingRoom	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$NeurologyDepartment#$@$#NeurologyDepartment()#$@$#name#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$NeurologyDepartment#$@$#NeurologyDepartment()#$@$#waitingRoom#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	waitingRoom	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$NeurologyDepartment#$@$#NeurologyDepartment()#$@$#name#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$NeurologyDepartment#$@$#NeurologyDepartment()#$@$#wardsForMulti#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	wardsForMulti	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$NeurologyDepartment#$@$#NeurologyDepartment()#$@$#wardsForSingle#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	wardsForSingle	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$NeurologyDepartment#$@$#NeurologyDepartment()#$@$#wardsForMulti.addLast#$@$#METHOD	hugo.util.structure.LinkedList	addLast(E)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.project.hospital.Hospital$NeurologyDepartment#$@$#NeurologyDepartment()#$@$#wardsForMulti#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	wardsForMulti	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$NeurologyDepartment#$@$#NeurologyDepartment()#$@$#wardsForMulti.addLast#$@$#METHOD	hugo.util.structure.LinkedList	addLast(E)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.project.hospital.Hospital$NeurologyDepartment#$@$#NeurologyDepartment()#$@$#wardsForMulti#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	wardsForMulti	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$NeurologyDepartment#$@$#NeurologyDepartment()#$@$#wardsForMulti.addLast#$@$#METHOD	hugo.util.structure.LinkedList	addLast(E)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.project.hospital.Hospital$NeurologyDepartment#$@$#NeurologyDepartment()#$@$#wardsForMulti#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	wardsForMulti	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$NeurologyDepartment#$@$#NeurologyDepartment()#$@$#wardsForSingle.addLast#$@$#METHOD	hugo.util.structure.LinkedList	addLast(E)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.project.hospital.Hospital$NeurologyDepartment#$@$#NeurologyDepartment()#$@$#wardsForSingle#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	wardsForSingle	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$NeurologyDepartment#$@$#NeurologyDepartment()#$@$#wardsForSingle.addLast#$@$#METHOD	hugo.util.structure.LinkedList	addLast(E)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.project.hospital.Hospital$NeurologyDepartment#$@$#NeurologyDepartment()#$@$#wardsForSingle#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	wardsForSingle	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$NeurologyDepartment#$@$#NeurologyDepartment()#$@$#deviceList#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	deviceList	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$CardiologyDepartment#$@$#CardiologyDepartment()#$@$#name#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$CardiologyDepartment#$@$#CardiologyDepartment()#$@$#waitingRoom#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	waitingRoom	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$CardiologyDepartment#$@$#CardiologyDepartment()#$@$#name#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	name	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$CardiologyDepartment#$@$#CardiologyDepartment()#$@$#wardsForMulti#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	wardsForMulti	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$CardiologyDepartment#$@$#CardiologyDepartment()#$@$#wardsForSingle#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	wardsForSingle	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$CardiologyDepartment#$@$#CardiologyDepartment()#$@$#wardsForMulti.addLast#$@$#METHOD	hugo.util.structure.LinkedList	addLast(E)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.project.hospital.Hospital$CardiologyDepartment#$@$#CardiologyDepartment()#$@$#wardsForMulti#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	wardsForMulti	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$CardiologyDepartment#$@$#CardiologyDepartment()#$@$#wardsForMulti.addLast#$@$#METHOD	hugo.util.structure.LinkedList	addLast(E)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.project.hospital.Hospital$CardiologyDepartment#$@$#CardiologyDepartment()#$@$#wardsForMulti#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	wardsForMulti	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$CardiologyDepartment#$@$#CardiologyDepartment()#$@$#wardsForSingle.addLast#$@$#METHOD	hugo.util.structure.LinkedList	addLast(E)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
hugo.project.hospital.Hospital$CardiologyDepartment#$@$#CardiologyDepartment()#$@$#wardsForSingle#$@$#FIELD	hugo.project.hospital.Hospital$Department	null	wardsForSingle	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/project/hospital/Hospital.java
hugo.project.hospital.Hospital$CardiologyDepartment#$@$#CardiologyDepartment()#$@$#wardsForSingle.addLast#$@$#METHOD	hugo.util.structure.LinkedList	addLast(E)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/urlff74b96b0d_HugoFeng_HospitalProject_tgz-pJ8-hugo_project_hospital_ProjectTestJ8/src/hugo/util/structure/LinkedList.java
